Mode,Sparsity,Seed,Train_Acc,Test_Acc,Acc_Gap,Train_F1,Test_F1,F1_Gap
SET,90.0%,42,0.9879,0.7491,0.2388,0.9879038931074197,0.748544589358897,0.23935930374852266
SET,90.0%,43,0.98648,0.7521,0.23438000000000003,0.9864728539376969,0.7522754653733184,0.23419738856437855
SET,90.0%,44,0.98614,0.7503,0.23584000000000005,0.9861482130904276,0.7499048926431203,0.23624332044730723
SET,95.0%,42,0.94982,0.7356,0.21421999999999997,0.9497677309614976,0.7362452294290566,0.213522501532441
SET,95.0%,43,0.95346,0.7375,0.21595999999999993,0.9533974519843684,0.7370690177297698,0.21632843425459858
SET,95.0%,44,0.95318,0.737,0.21618000000000004,0.9531036667824625,0.7366355429836171,0.2164681237988454
SET,98.0%,42,0.85572,0.7043,0.15142,0.8550879532015134,0.7031731339825178,0.15191481921899563
SET,98.0%,43,0.85824,0.7089,0.14934000000000003,0.8577256867702215,0.7086231760572288,0.14910251071299274
SET,98.0%,44,0.85806,0.7038,0.15426000000000006,0.8571358051022804,0.7025969072180882,0.15453889788419217
SET,99.0%,42,0.76462,0.6688,0.09582000000000002,0.7626819274454197,0.6667027757456745,0.09597915169974525
SET,99.0%,43,0.76434,0.6616,0.10274000000000005,0.7624107104474135,0.6594259337868201,0.10298477666059336
SET,99.0%,44,0.7693,0.6652,0.10409999999999997,0.7672347044561272,0.6621221328894468,0.10511257156668041
SET,99.5%,42,0.65388,0.5865,0.06738,0.6491370269261373,0.5816333124844748,0.06750371444166248
SET,99.5%,43,0.65904,0.5987,0.06033999999999995,0.6558975183726551,0.5953750316032761,0.06052248676937899
SET,99.5%,44,0.66526,0.6,0.06525999999999998,0.6601713085876801,0.5947404279585228,0.06543088062915736
MBPA,90.0%,42,0.98746,0.7521,0.23536,0.9874750549640526,0.7522536891976465,0.23522136576640618
MBPA,90.0%,43,0.98598,0.7517,0.23427999999999993,0.9859857109403253,0.7515200396373343,0.234465671302991
MBPA,90.0%,44,0.9866,0.7536,0.23299999999999998,0.9866004944650733,0.7526276512889988,0.23397284317607447
MBPA,95.0%,42,0.95394,0.7377,0.21624,0.953853287043465,0.7374476677498611,0.2164056192936038
MBPA,95.0%,43,0.95438,0.7345,0.21987999999999996,0.9542817927368372,0.7340356432716374,0.22024614946519983
MBPA,95.0%,44,0.95436,0.7352,0.21916000000000002,0.9542835264830591,0.7345015680482961,0.219781958434763
MBPA,98.0%,42,0.8586,0.7063,0.1523,0.85841054889272,0.7060697179062153,0.15234083098650464
MBPA,98.0%,43,0.86366,0.7102,0.15345999999999993,0.8632399110324417,0.7101295137861455,0.15311039724629616
MBPA,98.0%,44,0.8634,0.7108,0.15259999999999996,0.8624770311892315,0.7094702168900346,0.15300681429919682
MBPA,99.0%,42,0.77448,0.6723,0.10217999999999994,0.7731421166014938,0.6710556770573849,0.1020864395441089
MBPA,99.0%,43,0.77144,0.667,0.10443999999999998,0.7697063249885295,0.6657573648215156,0.10394896016701394
MBPA,99.0%,44,0.77222,0.6687,0.10352000000000006,0.7697418071109193,0.6652103157203303,0.10453149139058904
MBPA,99.5%,42,0.66032,0.5987,0.06162000000000001,0.6556838382246208,0.594332274955422,0.06135156326919888
MBPA,99.5%,43,0.67932,0.6135,0.06581999999999999,0.6756732571326857,0.6099652822132825,0.06570797491940317
MBPA,99.5%,44,0.67524,0.607,0.06823999999999997,0.6698355600656173,0.6012945902956481,0.06854096976996915
RIGL,90.0%,42,0.98596,0.7519,0.23405999999999993,0.9859526259892686,0.7519139641244027,0.23403866186486588
RIGL,90.0%,43,0.98432,0.7461,0.23822,0.9843019505373105,0.7458089670363057,0.23849298350100478
RIGL,90.0%,44,0.98498,0.7507,0.23427999999999993,0.9849773650264008,0.7505256568818252,0.2344517081445756
RIGL,95.0%,42,0.95174,0.735,0.21674000000000004,0.9517147257820683,0.7349371539743653,0.21677757180770296
RIGL,95.0%,43,0.95236,0.7334,0.21895999999999993,0.9523073166861535,0.7332898664068345,0.21901745027931907
RIGL,95.0%,44,0.95288,0.7372,0.21567999999999998,0.9528074051492224,0.7368600144704195,0.21594739067880286
RIGL,98.0%,42,0.86544,0.7127,0.15274,0.864996076771411,0.7115794134700764,0.15341666330133463
RIGL,98.0%,43,0.86872,0.7103,0.15842,0.8681604471543526,0.7099070123996796,0.15825343475467302
RIGL,98.0%,44,0.87252,0.713,0.15952,0.8717143011939745,0.711860362861682,0.15985393833229256
RIGL,99.0%,42,0.78472,0.677,0.10771999999999993,0.7830180565912978,0.6755135796897317,0.10750447690156606
RIGL,99.0%,43,0.78726,0.6813,0.10595999999999994,0.7857540209595402,0.6799755135838949,0.10577850737564531
RIGL,99.0%,44,0.78892,0.6761,0.11281999999999992,0.7870382224448708,0.6732416558084621,0.11379656663640869
RIGL,99.5%,42,0.69782,0.6259,0.07191999999999998,0.69510186013138,0.6227626047925227,0.07233925533885732
RIGL,99.5%,43,0.70256,0.6295,0.07306000000000001,0.6998184460913035,0.6272400571166736,0.07257838897462987
RIGL,99.5%,44,0.69812,0.6231,0.07501999999999998,0.6939190019684552,0.6179032249997698,0.07601577696868544
